age,salary
30,36942
27,38311
22,20465
22,29369
38,32888
50,38120
32,46360
43,24570
47,30538
51,38107
34,42583
52,22745
50,30706
45,34128
38,40926
36,44997
28,20361
52,26551
38,28199
39,21370
35,18783
47,28881
34,22621
51,21139
39,28400
48,41766
52,42612
46,23705
48,13345
38,26583
47,21292
51,26586
39,37415
27,32790
38,15227
27,45757
26,27270
43,24841
27,23730
46,27461
30,22670
50,15889
46,37188
33,32360
47,22104
23,31565
51,32536
47,31993
22,38216
47,21813
37,44835
45,20614
23,25673
34,19486
39,21834
47,45752
23,25864
52,38173
27,32989
52,33439
23,45619
32,37969
40,24813
27,46782
34,39122
46,39069
38,34445
30,33498
39,29346
45,39636
51,35090
40,25967
35,44754
32,21723
41,48953
29,24459
39,17001
47,12910
26,16335
23,39871
40,25156
29,41273
34,48378
32,48507
32,26965
36,37983
40,48715
49,21245
44,41523
33,37849
44,49228
21,36912
46,42513
27,32754
46,28869
45,49129
36,36322
50,35935
22,18330
52,39801
27,14628
34,37294
31,24480
24,32853
23,35678
30,45676
51,24308
48,41617
48,40357
49,46358
25,48836
24,31875
37,16039
21,33403
22,39460
45,35402
30,20053
48,16006
22,42350
26,45031
50,46255
21,23134
34,42214
32,17584
43,40492
52,34950
47,30843
48,38729
34,32004
37,23199
47,13534
37,29905
28,16024
35,29932
31,18629
39,48097
47,35359
43,26336
36,36260
38,36452
38,13763
36,47397
41,46692
52,23303
36,45053
43,48681
34,12282
35,29377
38,18115
37,14769
24,40276
38,16088
21,42468
21,32033
23,32639
22,27126
47,23899
22,19402
22,40213
26,38198
44,24389
43,15012
21,15556
25,43881
52,32078
51,21720
30,23156
31,45921
22,26895
40,43614
44,32076
50,31677
35,34511
50,29803
48,30270
41,47147
49,41090
34,40367
23,14936
49,29234
22,38367
41,26135
24,40650
